"clinton-.htm | Question 0"
"NBC News/Wall Street Journal Poll conducted by the polling organizations of Peter Hart (D) and Robert Teeter (R)"
"In general, do you approve or disapprove of the job Bill Clinton is doing as president?"
date,approve,disapprove,not sure,sample_size,margin_of_error,subpopulation,question_type,url,original,question,pollster
"=""2/4-6/00""",63,33,4,1018,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""1/25-26/00 **""",64,32,4,1044,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""1/17-19/00""",62,35,3,1496,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""1/13-16/00""",59,37,4,1027,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""1/7-10/00""",63,35,2,1633,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""12/20-21/99""",57,36,7,1031,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""12/9-12/99""",56,41,3,1037,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""11/18-21/99""",59,36,5,1010,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""11/4-7/99 **""",58,38,4,1011,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""10/21-24/99""",59,36,5,1005,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""10/8-10/99""",56,39,5,976,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""9/23-26/99 **""",59,38,3,1039,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""9/10-14/99""",60,38,2,1698,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""8/24-26/99 **""",60,35,5,1028,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""8/16-18/99""",59,36,5,1028,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""8/3-4/99""",60,35,5,,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""7/22-25/99 **""",64,31,5,1021,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""7/16-18/99""",58,38,4,1031,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""7/13-14/99""",59,37,4,,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
"=""6/25-27/99""",57,41,2,1016,,,,approval,http://www.pollingreport.com/clinton-.htm,Gallup/CNN/USA Today Poll,"""Do you approve or disapprove of the way Bill Clinton is handling his job as president?""",Gallup/CNN/USA Today Poll
